zip_prefixes|meanhouseholdincome
0|29414.4111192392
0|29470.1733172108
0|29575.4189944134
0|29611.5107913669
0|29679.1666666667
0|29742.618629174
0|29789.2307692308
0|29962.5813449024
0|30074.5351402458
0|30257.4404761905
0|30274.2660035296
0|30397.7272727273
0|30421.0638297872
0|30427.5362318841
0|30557.6923076923
0|30765.6441717791
0|30923.3937397035
0|30959.7678406543
0|30988.0696264424
0|31042.6666666667
0|31060.878243513
0|31067.8391959799
0|31086.4661654135
0|31123.5741444867
0|31175.2717391304
0|31219.4492254733
0|31328.4667541557
0|31384.1504365346
0|31454.5454545455
0|31523.83531961
0|31634.7424042272
0|31650
0|31664.3564356436
0|31774.6051032807
0|31904.5368620038
0|32069.8924731183
0|32205.6932966024
0|32298.1925432958
0|32412.5
0|32500
0|32579.528718704
0|32824.4680851064
0|32927.536231884
0|32967.0803908981
0|33023.8415043653
0|33059.7352276396
0|33066.1938534279
0|33089.4039735099
0|33125
0|33185.2642082245
0|33321.2735166425
0|33385.7142857143
0|33443.4673366834
0|33503.5149384886
0|33551.3176144244
0|33560.674232758
0|33575.2384316496
0|33576.9230769231
0|33636.4013266998
0|33648.6486486487
0|33651.0986733002
0|33694.5107398568
0|33778.5550219252
0|33797.9493365501
0|33838.9513108614
0|33839.4407313513
0|33850.9937739464
0|33881.7204301075
0|33885.2120535714
0|33920.424403183
0|33924.9084249084
0|33930.7244843998
0|33937.5
0|33987.0663205098
0|34039.7623954419
0|34050.5039518527
0|34064.9311789348
0|34089.9122807018
0|34129.3423271501
0|34135.9906213365
0|34143.3566433566
0|34154.9019607843
0|34208.4507042254
0|34412.8605769231
0|34447.0842332613
0|34500
0|34509.0909090909
0|34630.4347826087
0|34676.490747087
0|34706.3645130183
0|34760
0|34774.1673436231
0|34779.5918367347
0|34928.6449319426
0|34963.0422374429
0|34967.1052631579
0|35011.8881118881
0|35081.3743218806
0|35127.1901362751
0|35138.2252559727
0|35378.1294284365
0|35389.9858956276
0|35402.0543981482
0|35433.4203655352
0|35488.9210019268
0|35491.4163090129
0|35648.1481481481
0|35663.5135135135
0|35706.8965517241
0|35724.0377632535
0|35733.5745296672
0|35809.7644069754
0|35826.0869565217
0|35853.9094650206
0|35881.6091954023
0|35905.1490514905
0|36078.6922805781
0|36087.2788139646
0|36124.8211731044
0|36136.3636363636
0|36165.7303370787
0|36189.4273127753
0|36237.8531073446
0|36262.8635346756
0|36263.5688405797
0|36278.3018867925
0|36322.9813664596
0|36335.6164383562
0|36342.1052631579
0|36347.2222222222
0|36350.7612179487
0|36368.8583815029
0|36376.5999343617
0|36427.868852459
0|36432.5721671693
0|36489.8336414048
0|36489.9785254116
0|36499.1423670669
0|36500
0|36557.0291777188
0|36558.3214793741
0|36558.8594704684
0|36560.3112840467
0|36575.532348606
0|36598.0158730159
0|36635.9084406295
0|36659.2039800995
0|36694.6308724832
0|36746.4612822648
0|36800.7159904535
0|36815.9736639184
0|36864.6234488661
0|36933.3333333333
0|36951.7133956386
0|36957.7540106952
0|36964.0883977901
0|37000
0|37020.707047337
0|37032.6086956522
0|37045.2380952381
0|37058.2329317269
0|37075.3424657534
0|37088.5891106321
0|37111.3043478261
0|37134.328358209
0|37178.1609195402
0|37186.7615143477
0|37270.2702702703
0|37500.9784735812
0|37534.4827586207
0|37559.0909090909
0|37593.0892212481
0|37615.3982510045
0|37690.3920876016
0|37712.8390596745
0|37716.9033170329
0|37737.061769616
0|37795.6738768719
0|37810.8108108108
0|37825.7731958763
0|37834.1740226986
0|37868.5606507132
0|37946.4285714286
0|37947.5524475525
0|38000
0|38027.7564594525
0|38043.3333333333
0|38048.8520194403
0|38055.1794177387
0|38141.592920354
0|38146.2264150943
0|38146.3501063076
0|38215.1162790698
0|38248.6842105263
0|38255.9681697613
0|38309.4876248372
0|38317.2514619883
0|38375.8620689655
0|38413.2947976879
0|38429.5774647887
0|38467.4464907914
0|38472.1900347625
0|38494.3237219668
0|38522.3880597015
0|38526.8817204301
0|38541.3937039828
0|38576.9230769231
0|38631.5209404849
0|38631.8681318681
0|38694.7826086956
0|38711.3636363636
0|38787.3900293255
0|38788.2205513784
0|38844.3731039967
